ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Molecular Species;Molecular Formula;Smiles;Inchi Key
CHEMBL1089641;TRYPAN BLUE;TRYPAN BLUE;Small molecule;4;872.89;17;24;6.67;359.42;16;8;4;9;N;0.04;-3.90;2.38;1.13;-3.61;6;MOL;0;58;20;10;4;8.720.546;ACID;C34H28N6O14S4;Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O;ZBNARPCCDMHDDV-HVMBLDELSA-N
CHEMBL634;ALFENTANIL;AFENTANYL|ALFENTANIL|ALFENTANYL|Alfentanil|IDS-NA-014|R-39209|R-39209-;Small molecule;4;416.53;39;171;1.38;85.49;8;0;0;9;N;0.61;None;7.50;2.81;2.45;2;MOL;0;30;9;0;0;4.162.536;NEUTRAL;C21H32N6O3;CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1;IDBPHNDTYPBSNI-UHFFFAOYSA-N
CHEMBL2364968;ERGOLOID;;Small molecule;4;2330.89;;;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;23.292.744;None;C130H168N20O20;CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O.CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CCC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12;ZQLJWTRXKINMIN-BEJKIDSHSA-N
CHEMBL2108247;CLOVE OIL;CARYOPHYLII FLORIS AETHEROLEUM|CLOVE OIL|FEMA NO. 2323|OLEUM CARYOPHYLII;Small molecule;4;;;;;;;;;;;;;;;;;NONE;0;;;;;;;;;
CHEMBL1201219;VECURONIUM;VECURONIUM|VECURONIUM CATION|VECURONIUM ION|Vecuronium;Small molecule;4;557.84;12;30;5.97;55.84;5;0;2;4;N;0.32;None;9.65;0.89;-1.34;0;MOL;0;40;6;0;2;5.574.313;BASE;C34H57N2O4+;CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1;BGSZAXLLHYERSY-XQIGCQGXSA-N
CHEMBL1200774;FLUPREDNISOLONE;Alphadrol|FLUPREDNISOLONE|NSC-47439|U-7800;Small molecule;4;378.44;3;10;1.51;94.83;5;3;0;2;N;0.68;12.58;None;0.93;0.93;0;MOL;0;27;5;3;0;3.781.843;NEUTRAL;C21H27FO5;C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO;MYYIMZRZXIQBGI-HVIRSNARSA-N
CHEMBL1159;PINACIDIL;PINACIDIL|Pindac;Small molecule;4;245.33;47;247;2.35;73.10;3;2;0;2;N;0.48;None;5.61;2.25;2.24;1;MOL;0;18;5;2;0;2.451.640;NEUTRAL;C13H19N5;CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C;IVVNZDGDKPTYHK-UHFFFAOYSA-N
CHEMBL463;AMINOHIPPURIC ACID;AMINOHIPPURIC ACID|AMINOHIPPURIC ACID, P-|Aminohippuric Acid|Aminohippuric acid|NSC-13064|P-AMINOHIPPURIC ACID|PAHA|PARA-AMINOHIPPURATE|PARA-AMINOHIPPURIC ACID;Small molecule;4;194.19;51;137;0.08;92.42;3;3;0;3;N;0.59;2.70;4.24;-1.01;-3.60;1;MOL;0;14;5;4;0;1.940.691;ACID;C9H10N2O3;Nc1ccc(C(=O)NCC(=O)O)cc1;HSMNQINEKMPTIC-UHFFFAOYSA-N
CHEMBL1201151;MESTRANOL;33355|EE-3ME|EE3 ME|EE3-ME|EE3ME|EEI3ME|MESTRANOL|NSC-84032;Small molecule;4;310.44;126;739;3.92;29.46;2;1;0;1;N;0.80;None;None;4.04;4.04;1;MOL;0;23;2;1;0;3.101.933;NEUTRAL;C21H26O2;C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C;IMSSROKUHAOUJS-MJCUULBUSA-N
CHEMBL2105345;PROPANIDID;BAYER 1420|BAYER-1420|Epontol|FBA 1420|FBA-1420|PROPANIDID|TH-2180|WH 5668|WH-5668;Small molecule;4;337.42;8;19;2.44;65.07;5;0;0;10;N;0.61;None;None;2.15;2.15;1;MOL;0;24;6;0;0;3.371.889;NEUTRAL;C18H27NO5;CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1;KEJXLQUPYHWCNM-UHFFFAOYSA-N
